Tr_Evid_Loss,Tr_MSE,alphatr,betatr,vtr,gammatr,alphatest,betatest,vtest,gammatest,Test_MSE
0.7116721272468567,0.07227537035942078,4.163717746734619,0.28553175926208496,1.4976513385772705,0.16853772103786469,4.173400402069092,0.28511056303977966,1.4998891353607178,0.16542114317417145,0.06832567602396011
0.7114613652229309,0.07226866483688354,4.164980888366699,0.2855326235294342,1.497939944267273,0.16853076219558716,4.174654006958008,0.28511500358581543,1.5001749992370605,0.16541653871536255,0.06832190603017807
0.7112512588500977,0.07226196676492691,4.166242599487305,0.28553351759910583,1.4982281923294067,0.16852381825447083,4.175905704498291,0.2851194441318512,1.5004606246948242,0.16541194915771484,0.06831815093755722
0.7110415101051331,0.07225528359413147,4.16750431060791,0.2855343520641327,1.4985162019729614,0.16851726174354553,4.177157402038574,0.28512388467788696,1.5007460117340088,0.16540779173374176,0.06831438839435577
0.710832417011261,0.07224860787391663,4.168764591217041,0.28553521633148193,1.4988040924072266,0.1685110330581665,4.178407192230225,0.28512826561927795,1.5010312795639038,0.16540400683879852,0.06831062585115433
0.7106238007545471,0.07224194705486298,4.170023441314697,0.2855360209941864,1.4990918636322021,0.16850529611110687,4.179656505584717,0.28513267636299133,1.5013163089752197,0.16540078818798065,0.06830687820911407
0.7104156017303467,0.07223528623580933,4.1712822914123535,0.2855367958545685,1.4993795156478882,0.16850002110004425,4.180905342102051,0.2851370573043823,1.5016013383865356,0.1653980165719986,0.06830313801765442
0.710207998752594,0.07222863286733627,4.172540187835693,0.28553763031959534,1.4996669292449951,0.1684950292110443,4.18215274810791,0.2851414084434509,1.5018861293792725,0.1653955727815628,0.06829939782619476
0.7100008130073547,0.07222199440002441,4.173797130584717,0.2855384051799774,1.4999544620513916,0.1684902459383011,4.1834001541137695,0.28514575958251953,1.5021708011627197,0.1653933823108673,0.06829565763473511
0.7097940444946289,0.07221534848213196,4.175053596496582,0.2855391204357147,1.5002413988113403,0.16848567128181458,4.184645175933838,0.28515005111694336,1.502455234527588,0.16539132595062256,0.06829193234443665
0.709587574005127,0.07220872491598129,4.1763081550598145,0.28553980588912964,1.500528335571289,0.16848132014274597,4.1858906745910645,0.2851543128490448,1.5027391910552979,0.16538944840431213,0.06828821450471878
0.7093817591667175,0.07220210134983063,4.177562236785889,0.28554046154022217,1.5008149147033691,0.16847720742225647,4.187134742736816,0.28515854477882385,1.5030232667922974,0.16538779437541962,0.0682845190167427
0.709176242351532,0.07219549268484116,4.178815841674805,0.2855411469936371,1.5011013746261597,0.16847331821918488,4.188377857208252,0.2851627767086029,1.5033071041107178,0.1653863489627838,0.06828081607818604
0.7089709639549255,0.07218888401985168,4.180068016052246,0.28554174304008484,1.5013874769210815,0.16846954822540283,4.189619064331055,0.28516697883605957,1.50359046459198,0.16538505256175995,0.06827712059020996
0.7087662220001221,0.07218226790428162,4.181319236755371,0.2855423092842102,1.5016735792160034,0.16846589744091034,4.190859794616699,0.2851710617542267,1.5038738250732422,0.16538381576538086,0.06827343255281448
0.7085618376731873,0.07217567414045334,4.18256950378418,0.2855428457260132,1.5019596815109253,0.16846223175525665,4.192100524902344,0.2851751446723938,1.5041570663452148,0.16538259387016296,0.0682697519659996
0.7083576321601868,0.07216911017894745,4.18381929397583,0.2855433225631714,1.502245545387268,0.16845843195915222,4.193339824676514,0.2851791977882385,1.504440188407898,0.1653812974691391,0.06826607137918472
0.708154559135437,0.07216254621744156,4.185068130493164,0.2855437397956848,1.5025312900543213,0.16845455765724182,4.194578647613525,0.2851831912994385,1.504723310470581,0.16538000106811523,0.06826239079236984
0.707951545715332,0.07215595245361328,4.186316013336182,0.28554412722587585,1.5028166770935059,0.16845077276229858,4.195815563201904,0.28518709540367126,1.505005955696106,0.16537883877754211,0.06825869530439377
0.7077481746673584,0.07214931398630142,4.187560081481934,0.28554463386535645,1.5031015872955322,0.16844746470451355,4.197049617767334,0.2851911187171936,1.5052878856658936,0.16537800431251526,0.06825502216815948
0.7075440883636475,0.07214265316724777,4.1888017654418945,0.2855451703071594,1.5033857822418213,0.16844455897808075,4.198280334472656,0.2851952016353607,1.505569338798523,0.1653774231672287,0.0682513490319252
0.7073399424552917,0.07213598489761353,4.190042495727539,0.28554561734199524,1.5036697387695312,0.1684420108795166,4.19951057434082,0.28519919514656067,1.5058506727218628,0.1653771549463272,0.0682477056980133
0.707135796546936,0.07212932407855988,4.191283226013184,0.2855459451675415,1.5039536952972412,0.16843989491462708,4.200741291046143,0.28520309925079346,1.506131887435913,0.16537737846374512,0.06824405491352081
0.7069321870803833,0.07212265580892563,4.192523002624512,0.28554627299308777,1.504237413406372,0.16843803226947784,4.201971054077148,0.28520694375038147,1.5064127445220947,0.16537787020206451,0.06824041903018951
0.7067287564277649,0.07211598753929138,4.193762302398682,0.28554651141166687,1.504521131515503,0.16843630373477936,4.20319938659668,0.28521066904067993,1.5066936016082764,0.16537849605083466,0.0682368054986
0.7065255045890808,0.07210930436849594,4.1949992179870605,0.2855467200279236,1.504804253578186,0.16843463480472565,4.204426288604736,0.2852143943309784,1.5069739818572998,0.16537922620773315,0.0682331845164299
0.7063218951225281,0.07210259884595871,4.196234703063965,0.2855468690395355,1.50508713722229,0.16843314468860626,4.205650806427002,0.28521808981895447,1.5072541236877441,0.1653800755739212,0.06822958588600159
0.7061184644699097,0.07209591567516327,4.197470188140869,0.2855469584465027,1.5053701400756836,0.16843175888061523,4.206876277923584,0.285221666097641,1.5075342655181885,0.16538108885288239,0.06822598725557327
0.7059153318405151,0.07208921760320663,4.198705673217773,0.2855468988418579,1.5056527853012085,0.16843044757843018,4.20810079574585,0.28522512316703796,1.5078141689300537,0.16538220643997192,0.06822238117456436
0.7057124376296997,0.07208254188299179,4.199940204620361,0.28554674983024597,1.5059356689453125,0.16842909157276154,4.209325313568115,0.28522852063179016,1.5080941915512085,0.16538341343402863,0.06821878999471664
0.705510139465332,0.07207588106393814,4.201175212860107,0.28554657101631165,1.5062185525894165,0.16842764616012573,4.2105488777160645,0.2852318286895752,1.5083742141723633,0.16538457572460175,0.06821521371603012
0.7053084969520569,0.07206927239894867,4.2024102210998535,0.285546213388443,1.5065014362335205,0.16842584311962128,4.211773872375488,0.2852349877357483,1.5086544752120972,0.16538548469543457,0.0682116374373436
